Day of the Week,Field Contact Date,Street Number,Street Name,City
Sun,12/02/2018 08:30:00 PM,1900,FOSTER ST,EVANSTON
Sat,12/01/2018 12:02:00 AM,500,BARTON AV/OAKTON ST,EVANSTON
Fri,11/30/2018 07:38:00 PM,7600,N SHERIDAN,CHICAGO
Wed,11/28/2018 06:48:00 PM,800,DODGE AV,EVANSTON
Fri,11/23/2018 03:56:00 PM,2000,WARREN ST,EVANSTON
Fri,11/23/2018 04:29:00 AM,7400,N. CALIFORNIA,CHICAGO
Mon,11/19/2018 11:09:00 AM,1700,SHERMAN AV,EVANSTON
Sun,11/18/2018 08:34:00 PM,1800,BENSON AV,EVANSTON
Sun,11/18/2018 07:07:00 PM,1800,BENSON AV,EVANSTON
Sun,11/18/2018 07:07:00 PM,1800,BENSON AV,EVANSTON
Fri,11/16/2018 08:44:00 PM,1400,W HOWARD ST,CHICAGO
Fri,11/16/2018 11:04:00 AM,2100,RIDGE AV,EVANSTON
Wed,11/14/2018 08:37:00 PM,1700,DAVIS ST,EVANSTON
Wed,11/14/2018 02:32:00 AM,200,CUSTER AV/CASE ST,EVANSTON
Sat,11/10/2018 07:16:00 PM,1000,HOWARD ST,EVANSTON
Thu,11/08/2018 04:29:00 PM,,CHURCH/MCCORMICK,SKOKIE
Wed,11/07/2018 08:27:00 PM,2400,DEMPSTER ST,EVANSTON
Wed,11/07/2018 06:10:00 PM,2400,DEMPSTER ST,EVANSTON
Tue,11/06/2018 03:19:00 PM,,LINCOLNWOOD/DEMPSTER,SKOKIE
Mon,11/05/2018 06:05:00 PM,7600,N SHERIDAN RD/W HOWARD ST,CHICAGO
Wed,10/31/2018 08:41:00 PM,600,SHERMAN AV,EVANSTON
Wed,10/31/2018 08:41:00 PM,600,SHERMAN AV,EVANSTON
Wed,10/31/2018 07:52:00 PM,7500,N ROGERS AV/N PAULINA ST,CHICAGO
Wed,10/31/2018 11:58:00 AM,7300,N WESTERN AV,CHICAGO
Wed,10/31/2018 07:09:00 AM,1500,RIDGE AV,EVANSTON
Mon,10/29/2018 08:25:00 PM,1700,MAPLE AV,EVANSTON
Mon,10/29/2018 08:14:00 PM,2700,RIDGE AV,EVANSTON
Mon,10/29/2018 06:40:00 PM,100,CHICAGO AV,EVANSTON
Mon,10/29/2018 01:46:00 PM,2700,RIDGE AV,EVANSTON
Sat,10/27/2018 12:00:00 PM,2700,RIDGE AV,EVANSTON
Fri,10/26/2018 11:49:00 PM,,DEMPSTER/EWING,SKOKIE
Fri,10/26/2018 11:13:00 AM,,HOWARD ST/BELL AV,CHICAGO
Fri,10/26/2018 11:13:00 AM,,HOWARD ST/BELL AVE,CHICAGO
Thu,10/25/2018 11:04:00 PM,1200,LAKE ST/RIDGE AV,EVANSTON
Tue,10/23/2018 07:09:00 PM,1000,HOWARD ST,EVANSTON
Tue,10/23/2018 06:58:00 PM,1000,HOWARD ST,EVANSTON
Tue,10/23/2018 06:15:00 PM,1300,SIMPSON ST,EVANSTON
Mon,10/22/2018 08:24:00 PM,1500,RIDGE AV,EVANSTON
Mon,10/22/2018 07:57:00 PM,1800,MAPLE AV,EVANSTON
Mon,10/22/2018 06:30:00 PM,400,HOWARD ST,EVANSTON
Sun,10/21/2018 09:57:00 PM,200,WESLEY AV,EVANSTON
Fri,10/19/2018 04:17:00 PM,1700,DARROW AV,EVANSTON
Fri,10/19/2018 01:45:00 AM,1300,ASBURY AV/DEMPSTER ST,EVANSTON
Tue,10/16/2018 09:10:00 PM,1700,ORRINGTON AV,EVANSTON
Tue,10/16/2018 06:07:00 PM,2200,OAKTON ST,EVANSTON
Sat,10/13/2018 10:46:00 PM,700,EMERSON ST,EVANSTON
Sat,10/13/2018 08:40:00 PM,100,CHICAGO AV,EVANSTON
Sat,10/13/2018 04:27:00 AM,900,RIDGE AV/MAIN ST,EVANSTON
Sat,10/13/2018 02:19:00 AM,600,HOWARD ST,EVANSTON
Fri,10/12/2018 05:20:00 PM,3200,CENTRAL ST,EVANSTON
Thu,10/11/2018 09:03:00 PM,1000,EMERSON ST,EVANSTON
Thu,10/11/2018 06:15:00 PM,2000,W BIRCHWOOD,CHICAGO
Wed,10/10/2018 05:15:00 PM,600,CLARK ST,EVANSTON
Fri,10/05/2018 02:53:00 AM,700,DAVIS ST/ORRINGTON AV,EVANSTON
Thu,10/04/2018 03:39:00 PM,7500,N WOLCOTT,CHICAGO
Thu,10/04/2018 03:39:00 PM,7500,N WOLCOTT,CHICAGO
