Arrest Key,Relates Incident Number,Day of the Week,Arrest Date,Arrest Time,Age,Sex,Race,Ethnicity,Arrest Type,Weapon Code,Street Number,Street Name,City,Location
49593,18011297,Wed,12/19/2018 12:00:00 AM,1241,21,Male,White,,On View,None,1300,DEMPSTER ST/ASBURY AV,EVANSTON,"(42.041273523990625, -87.69068735663645)"
49594,18011304,Wed,12/19/2018 12:00:00 AM,1550,29,Male,White,,,None,1400,RIDGE AV/LAKE ST,EVANSTON,"(42.04371656190859, -87.68850574198116)"
49595,18011312,Wed,12/19/2018 12:00:00 AM,1900,25,Male,Black,Not Hispanic,Taken into Custody,Knife/Cutting Instrument,300,DEMPSTER ST,EVANSTON,"(42.04113399295212, -87.67593438955272)"
49596,18011322,Wed,12/19/2018 12:00:00 AM,2235,40,Female,Black,,Taken into Custody,Other,1300,DEMPSTER ST,EVANSTON,"(42.041273523990625, -87.69068735663645)"
49597,18011322,Wed,12/19/2018 12:00:00 AM,2300,34,Female,Black,,Taken into Custody,None,1300,CHICAGO AV/DEMPSTER ST,EVANSTON,"(42.04191430584547, -87.68056675805788)"
49598,18011208,Mon,12/17/2018 12:00:00 AM,1525,29,Female,White,,,None,400,ASBURY AV,EVANSTON,"(42.02585323613883, -87.69008895718044)"
49599,18008301,Fri,12/14/2018 12:00:00 AM,1730,32,Male,Black,,Taken into Custody,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49600,18010849,Wed,12/19/2018 12:00:00 AM,1130,24,Female,Black,Not Hispanic,Taken into Custody,,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49601,18009881,Mon,12/17/2018 12:00:00 AM,913,61,Male,Black,Not Hispanic,Taken into Custody,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49602,18010856,Wed,12/19/2018 12:00:00 AM,1250,18,Male,White,Not Hispanic,Taken into Custody,None,5600,OLD ORCHARD RD,SKOKIE,
49603,18011196,Mon,12/17/2018 12:00:00 AM,1250,16,Male,Black,Not Hispanic,Taken into Custody,None,2500,MAIN ST,EVANSTON,"(42.03369119364168, -87.70927798129657)"
49604,18011018,Wed,12/19/2018 12:00:00 AM,1540,15,Male,White,,On View,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49605,18011255,Thu,12/20/2018 12:00:00 AM,1430,17,Male,Black,Not Hispanic,Taken into Custody,None,1500,ELLINWOOD ST,DES PLAINES,
49606,18011351,Thu,12/20/2018 12:00:00 AM,2136,36,Female,Black,Not Hispanic,Taken into Custody,None,2000,OAKTON ST,EVANSTON,"(42.02654598740489, -87.70172819948571)"
49607,18011353,Fri,12/21/2018 12:00:00 AM,0,30,Male,Black,,Taken into Custody,None,800,DOBSON ST,EVANSTON,"(42.020331193941615, -87.68377415394069)"
49608,18011327,Thu,12/20/2018 12:00:00 AM,858,28,Male,White,,Taken into Custody,None,1800,CHURCH ST,EVANSTON,"(42.048393510068635, -87.69821115345385)"
49609,18008837,Thu,12/20/2018 12:00:00 AM,1335,17,Male,Black,Not Hispanic,Taken into Custody,None,300,ELMWOOD AV,EVANSTON,"(42.023308234451115, -87.68276671943285)"
49610,18011311,Sat,12/22/2018 12:00:00 AM,1916,63,Male,Black,,On View,Knife/Cutting Instrument,800,CHURCH ST,EVANSTON,"(42.048460705224265, -87.6826034124509)"
49611,18011365,Fri,12/21/2018 12:00:00 AM,1610,47,Female,White,Not Hispanic,Taken into Custody,None,1100,ASBURY AV/CRAIN ST,EVANSTON,"(42.03854464841506, -87.68986848046387)"
49612,18011399,Sat,12/22/2018 12:00:00 AM,1827,37,Male,White,,Taken into Custody,None,600,MAIN ST/CHICAGO AV,EVANSTON,"(42.03394548973003, -87.6799268559879)"
49613,18011345,Sat,12/22/2018 12:00:00 AM,2156,63,Male,Black,,Taken into Custody,Knife/Cutting Instrument,800,CHURCH ST,EVANSTON,"(42.048460705224265, -87.6826034124509)"
49614,18011412,Sun,12/23/2018 12:00:00 AM,454,32,Male,Black,,On View,None,400,RIDGE AV,EVANSTON,"(42.025837474313164, -87.68535997696793)"
49615,18011422,Sun,12/23/2018 12:00:00 AM,1518,47,Male,Black,,Taken into Custody,,1100,CHICAGO AV,EVANSTON,"(42.03841094441211, -87.68025391495762)"
49616,18011437,Mon,12/24/2018 12:00:00 AM,110,31,Male,White,,Taken into Custody,None,1600,OAK AV,EVANSTON,"(42.04779080678063, -87.68681762808806)"
49617,18011438,Mon,12/24/2018 12:00:00 AM,44,50,Male,Black,Not Hispanic,Taken into Custody,None,1200,CLEVELAND ST,EVANSTON,"(42.02993267621047, -87.68919900168521)"
49618,18011441,Mon,12/24/2018 12:00:00 AM,456,46,Male,Black,,Taken into Custody,None,1200,FOWLER AV,EVANSTON,"(42.040079926391996, -87.70693245297932)"
49619,18011461,Mon,12/24/2018 12:00:00 AM,2008,49,Male,Black,,Taken into Custody,Personal (Hands/Fist/Feet),1400,HOWARD ST,EVANSTON,"(42.019473609180395, -87.69283702200437)"
49620,18011456,Mon,12/24/2018 12:00:00 AM,1338,18,Male,White,,Taken into Custody,None,2200,HOWARD ST,EVANSTON,"(42.019211376364495, -87.705482830181)"
49621,18011371,Fri,12/21/2018 12:00:00 AM,2342,83,Male,Black,,Taken into Custody,,700,MADISON ST,EVANSTON,"(42.031703121056054, -87.68126002219128)"
49622,18011395,Sat,12/22/2018 12:00:00 AM,1450,21,Male,White,,Warrant,None,1700,ORRINGTON AV,EVANSTON,"(42.04911412362465, -87.68035607867104)"
49623,18011406,Sat,12/22/2018 12:00:00 AM,2329,35,Male,White,,Taken into Custody,None,1400,RIDGE AV,EVANSTON,"(42.04371656190859, -87.68850574198116)"
49624,18011440,Mon,12/24/2018 12:00:00 AM,245,35,Male,Black,,On View,None,1000,DODGE AV,EVANSTON,"(42.03659148493038, -87.69924144158854)"
